Id|RowCreated|RowUpdated|RowCreatedByUser|RowUpdatedByUser|RowInfo|GlobalID|Code|Value|AliasEn|AliasAz|AliasRu|DefinitionEn|DefinitionAz|DefinitionRu
124|2024-01-18 07:07:50.1561676|2024-01-18 07:07:50.1561678|admin|admin||eb896e2e-8bc8-4c79-a812-1c10b2005863|TK|Turkmen||||||
125|2024-01-18 07:07:50.1561823|2024-01-18 07:07:50.1561825|admin|admin||5f1a1e71-427e-49cc-9f06-22cb062d0540|TW|Twi||||||
126|2024-01-18 07:07:50.1561978|2024-01-18 07:07:50.156198|admin|admin||c2f2faae-ff46-42c6-a32a-f4743e836f7e|UK|Ukrainian||||||
127|2024-01-18 07:07:50.1562124|2024-01-18 07:07:50.1562125|admin|admin||cc99a012-06a8-4d6f-9467-ae924c622689|UR|Urdu||||||
128|2024-01-18 07:07:50.1562269|2024-01-18 07:07:50.156227|admin|admin||664fd153-a595-459d-9d78-fe96ab9ed7e9|UZ|Uzbek||||||
129|2024-01-18 07:07:50.1562413|2024-01-18 07:07:50.1562415|admin|admin||acccd205-a60a-46b5-8a10-bb6efebdc81f|VI|Vietnamese||||||
130|2024-01-18 07:07:50.1562566|2024-01-18 07:07:50.1562568|admin|admin||c04faade-0bb6-4752-988f-db839c239c77|VO|Volapuk||||||
131|2024-01-18 07:07:50.1562711|2024-01-18 07:07:50.1562713|admin|admin||b0d5d81e-0144-4b50-b853-a40201efe538|CY|Welsh||||||
132|2024-01-18 07:07:50.1562861|2024-01-18 07:07:50.1562862|admin|admin||e7706ef2-9a2d-4fcc-8869-7608faf7608b|WO|Wolof||||||
133|2024-01-18 07:07:50.1563007|2024-01-18 07:07:50.1563009|admin|admin||10387420-bf3c-45a5-9a05-bf0f67021d70|XH|Xhosa||||||
134|2024-01-18 07:07:50.1563161|2024-01-18 07:07:50.1563162|admin|admin||869ac232-206c-4e45-9ae4-e2e6c980b740|JI|Yiddish||||||
135|2024-01-18 07:07:50.1563308|2024-01-18 07:07:50.156331|admin|admin||acead844-fa06-4d37-8f5a-a49156a1b4de|YO|Yoruba||||||
136|2024-01-18 07:07:50.1563451|2024-01-18 07:07:50.1563453|admin|admin||84e2d7d1-d060-43e0-b919-e73814d20be1|ZU|Zulu||||||
